NAIC,Unnamed: 0,Unnamed: 1,Illinois,Unnamed: 2,Illinois.1,Illinois.2,Illinois.3,"NAICCompanyCode",Company Name,Domicile,"IllinoisDirect PremiumsWritten","IllinoisMarket Share","IllinoisDirect PremiumsEarned","IllinoisDirect LossesIncurred","IllinoisPure Direct LossRatio"
,,,,,,,,10239.0,Secura Supreme Ins Co,WI,"$105,502",0.00%,"$1,912,258","$1,876,619",98.14%
,,,,,,,,18058.0,Philadelphia Ind Ins Co,PA,"$100,228",0.00%,"$94,763","-$210,072",-221.68%
,,,,,,,,24376.0,Spinnaker Ins Co,IL,"$100,052",0.00%,"$191,036","$438,065",229.31%
,,,,,,,,42447.0,National Gen Assur Co,MO,"$83,942",0.00%,"$86,925","$18,578",21.37%
,,,,,,,,10322.0,Grange Ind Ins Co,OH,"$81,298",0.00%,"$87,193","$217,443",249.38%
,,,,,,,,40703.0,Unitrin Safeguard Ins Co,WI,"$80,143",0.00%,"$643,367","$439,068",68.25%
,,,,,,,,22608.0,National Specialty Ins Co,TX,"$74,959",0.00%,"$60,959","$41,603",68.25%
,,,,,,,,36684.0,Riverport Ins Co,IA,"$74,559",0.00%,"$73,581","$41,874",56.91%
,,,,,,,,16186.0,Vault Recip Exch,FL,"$66,055",0.00%,"$53,988","$124,791",231.15%
,,,,,,,,35629.0,Association Cas Ins Co,TX,"$61,607",0.00%,"$69,113","$69,787",100.98%
,,,,,,,,33588.0,First Liberty Ins Corp,IL,"$45,216",0.00%,"$53,930","-$17,869",-33.13%
,,,,,,,,25909.0,Unitrin Preferred Ins Co,NY,"$37,411",0.00%,"$459,810","-$217,792",-47.37%
,,,,,,,,21261.0,RiverStone Intl Ins Inc,MA,"$35,487",0.00%,"$385,517","$232,114",60.21%
,,,,,,,,14060.0,Grange Ins Co,OH,"$33,507",0.00%,"$34,484","-$2,743",-7.95%
,,,,,,,,10111.0,American Bankers Ins Co Of FL,FL,"$25,778",0.00%,"$24,105","-$28,911",-119.94%
,,,,,,,,11090.0,Incline Cas Co,TX,"$23,286",0.00%,"$54,581","-$125,471",-229.88%
,,,,,,,,11044.0,National General Ins Online Inc,MO,"$21,414",0.00%,"$21,294","$77,003",361.62%
,,,,,,,,25135.0,State Automobile Mut Ins Co,OH,"$11,198",0.00%,"$15,945","$13,280",83.29%
,,,,,,,,42404.0,Liberty Ins Corp,IL,"$10,887",0.00%,"$12,879","-$8,388",-65.13%
,,,,,,,,19720.0,American Alt Ins Corp,DE,"$10,310",0.00%,"$9,049","$4,455",49.23%
,,,,,,,,27998.0,Travelers Home & Marine Ins Co,CT,"$10,227",0.00%,"$414,122","-$1,186,835",-286.59%
,,,,,,,,25405.0,Safe Auto Ins Co,OH,"$9,167",0.00%,"$1,486,041","$2,347,863",157.99%
,,,,,,,,32620.0,National Interstate Ins Co,OH,"$4,883",0.00%,"$1,294","$1,777",137.33%
,,,,,,,,21687.0,Mid Century Ins Co,CA,$813,0.00%,$814,"$31,059",3815.60%
,,,,,,,,17043.0,Everett Cash Mut Ins Co,PA,$603,0.00%,$629,$172,27.35%
,,,,,,,,11000.0,Sentinel Ins Co Ltd,CT,$380,0.00%,"$1,589","$427,133",26880.62%
,,,,,,,,37885.0,XL Specialty Ins Co,DE,$100,0.00%,"$1,841",-$581,-31.56%
,,,,,,,,15563.0,Clear Spring Prop & Cas Co,IN,$0,0.00%,$0,"-$443,591",0.00%
,,,,,,,,27855.0,Zurich Amer Ins Co Of IL,IL,$0,0.00%,$0,"-$3,586",0.00%
,,,,,,,,22268.0,Infinity Ins Co,IN,$0,0.00%,$0,"-$290,050",0.00%
,,,,,,,,39322.0,General Security Natl Ins Co,NY,$0,0.00%,$0,"$3,143",0.00%
,,,,,,,,24066.0,American Fire & Cas Co,NH,$0,0.00%,$0,"-$1,049",0.00%
,,,,,,,,19429.0,Insurance Co Of The State Of PA,IL,$0,0.00%,$0,"-$257,506",0.00%
,,,,,,,,14257.0,IMT Ins Co,IA,$0,0.00%,$0,$59,0.00%
,,,,,,,,44393.0,West Amer Ins Co,IN,$0,0.00%,$0,"-$7,485",0.00%
,,,,,,,,11908.0,Mercury Cas Co,CA,$0,0.00%,$0,-$38,0.00%
,,,,,,,,35319.0,United Automobile Ins Co,FL,$0,0.00%,$0,"$6,109",0.00%
,,,,,,,,37478.0,Hartford Ins Co Of The Midwest,IN,$0,0.00%,-$323,"-$2,133",660.37%
,,,,,,,,42579.0,Allied Prop & Cas Ins Co,IA,$0,0.00%,$0,$389,0.00%
,,,,,,,,42978.0,American Security Ins Co,DE,$0,0.00%,$0,-$324,0.00%
,,,,,,,,23469.0,American Modern Home Ins Co,OH,$0,0.00%,$1,-$615,-61500.00%
,,,,,,,,10914.0,Kemper Independence Ins Co,IL,$0,0.00%,$0,"-$2,300",0.00%
,,,,,,,,24414.0,General Cas Co Of WI,WI,$0,0.00%,$0,"$35,374",0.00%
,,,,,,,,23361.0,Shelter Gen Ins Co,MO,$0,0.00%,$0,"-$75,883",0.00%
,,,,,,,,38156.0,Alpha Prop & Cas Ins Co,WI,$0,0.00%,$0,"-$16,202",0.00%
,,,,,,,,34789.0,21st Century Centennial Ins Co,PA,$0,0.00%,$0,"-$78,852",0.00%
,,,,,,,,32808.0,Illinois Emcasco Ins Co,IA,$0,0.00%,$0,-$133,0.00%
,,,,,,,,20443.0,Continental Cas Co,IL,$0,0.00%,$0,"$2,507,235",0.00%
,,,,,,,,39950.0,Metropolitan Gen Ins Co,RI,$0,0.00%,$0,"-$1,158",0.00%
,,,,,,,,11702.0,Echelon Prop & Cas Ins Co,IL,$0,0.00%,$0,"$389,776",0.00%
,,,,,,,,26085.0,Warner Ins Co,IL,$0,0.00%,$0,$57,0.00%
,,,,,,,,21407.0,Emcasco Ins Co,IA,$0,0.00%,$0,$2,0.00%
